Q1, , , 
response,lower,middle,upper
 A,0.056,0.143,0.128
*B,0.111,0.19,0.462
 C,0.611,0.429,0.205
 D,0.056,0.048,0.103
 E,0.167,0.19,0.103
 , , , 
Q2, , , 
response,lower,middle,upper
 A,0.481,0.548,0.231
 B,0.093,0.048,0.026
 C,0.167,0.214,0.103
*D,0.241,0.19,0.615
 E,0.019,0,0.026
 , , , 
Q3, , , 
response,lower,middle,upper
 A,0.37,0.429,0.256
 B,0.13,0.238,0.128
 blank,0,0,0
 C,0.204,0.024,0.103
*D,0.204,0.214,0.436
 E,0.093,0.095,0.077
 , , , 
Q4, , , 
response,lower,middle,upper
 A,0.019,0,0.026
*B,0.278,0.619,0.846
 C,0.111,0,0.026
 D,0.37,0.143,0
 E,0.222,0.238,0.103
 , , , 
Q5, , , 
response,lower,middle,upper
 A,0.389,0.524,0.308
 B,0.167,0.071,0.051
 C,0.278,0.167,0.128
 D,0.074,0.167,0.077
*E,0.093,0.071,0.436
 , , , 
Q6, , , 
response,lower,middle,upper
 A,0.426,0.286,0.179
 B,0.259,0.214,0.051
 blank,0,0,0
 C,0.093,0.071,0.026
*D,0.093,0.214,0.436
 E,0.13,0.214,0.308
 , , , 
Q7, , , 
response,lower,middle,upper
 A,0.074,0.048,0.051
*B,0.556,0.738,0.846
 C,0.111,0.024,0
 D,0.037,0.119,0.026
 E,0.222,0.071,0.077
 , , , 
Q8, , , 
response,lower,middle,upper
 A,0.333,0.357,0.154
 B,0.463,0.31,0.513
*C,0.074,0.238,0.333
 D,0.074,0,0
 E,0.056,0.095,0
 , , , 
Q9, , , 
response,lower,middle,upper
 A,0.167,0.048,0
 B,0.185,0.119,0.128
 C,0.13,0.071,0.051
*D,0.463,0.762,0.795
 E,0.056,0,0.026
 , , , 
Q10, , , 
response,lower,middle,upper
 A,0.296,0.167,0.077
 B,0.093,0.095,0.077
*C,0.296,0.429,0.59
 D,0.259,0.238,0.179
 E,0.056,0.071,0.077
 , , , 
Q11, , , 
response,lower,middle,upper
 A,0.093,0.071,0
 B,0.093,0.071,0.154
 C,0.259,0.167,0.077
 D,0.37,0.286,0.128
*E,0.185,0.405,0.641
 , , , 
Q12, , , 
response,lower,middle,upper
 A,0.148,0.143,0.077
*B,0.111,0.214,0.487
 C,0.259,0.143,0.077
 D,0.167,0.214,0.205
 E,0.315,0.286,0.154
 , , , 
Q13, , , 
response,lower,middle,upper
 A,0.222,0.071,0.256
 B,0.074,0,0
 blank,0.037,0.024,0
*C,0.185,0.333,0.436
 D,0.259,0.262,0.077
 E,0.222,0.31,0.231
 , , , 
Q14, , , 
response,lower,middle,upper
*A,0.185,0.095,0.564
 B,0.185,0.143,0
 blank,0.037,0,0
 C,0.167,0.381,0.179
 D,0.204,0.19,0.026
 E,0.222,0.19,0.231
 , , , 
Q15, , , 
response,lower,middle,upper
 A,0.222,0.357,0.59
 B,0.389,0.262,0.077
 blank,0.019,0,0
 C,0.148,0.167,0.154
 D,0.222,0.048,0
*E,0,0.167,0.179
 , , , 
Q16, , , 
response,lower,middle,upper
 A,0.185,0.19,0.128
*B,0.389,0.714,0.846
 blank,0.019,0,0
 C,0.093,0.048,0
 D,0.167,0,0.026
 E,0.148,0.048,0
 , , , 
Q17, , , 
response,lower,middle,upper
 A,0.296,0.262,0.077
 B,0.056,0,0.026
 blank,0.019,0,0
 C,0.222,0.095,0.103
*D,0.333,0.643,0.769
 E,0.074,0,0.026
 , , , 
Q18, , , 
response,lower,middle,upper
 A,0.037,0.024,0.026
 B,0.148,0.119,0.333
 blank,0.019,0,0
*C,0.185,0.381,0.462
 D,0.278,0.095,0.103
 E,0.333,0.381,0.077
 , , , 
Q19, , , 
response,lower,middle,upper
 A,0.074,0,0.103
 B,0.241,0.024,0.026
 blank,0.037,0,0
 C,0.241,0.143,0.026
*D,0.167,0.357,0.41
 E,0.241,0.476,0.436
 , , , 
Q20, , , 
response,lower,middle,upper
 A,0.222,0.143,0
*B,0.074,0.167,0.231
 blank,0.056,0,0
 C,0.333,0.262,0.308
 D,0.222,0.119,0.051
 E,0.093,0.31,0.41
 , , , 
Q21, , , 
response,lower,middle,upper
 A,0.407,0.405,0.154
*B,0.37,0.357,0.718
 blank,0.037,0,0
 C,0.037,0.071,0
 D,0,0.024,0
 E,0.148,0.143,0.128
 , , , 
Q22, , , 
response,lower,middle,upper
 A,0.056,0.024,0
 B,0.13,0.071,0.026
 blank,0.037,0,0
 C,0.5,0.595,0.231
*D,0.148,0.286,0.744
 E,0.13,0.024,0
 , , , 
Q23, , , 
response,lower,middle,upper
 A,0.037,0.024,0
*B,0.278,0.595,0.769
 blank,0.037,0.024,0
 C,0.111,0.024,0
 D,0.519,0.31,0.128
 E,0.019,0.024,0.103
 , , , 
Q24, , , 
response,lower,middle,upper
 A,0.019,0.024,0
 B,0.093,0.143,0.128
 blank,0.037,0,0
 C,0.259,0.119,0.026
*D,0.259,0.405,0.667
 E,0.333,0.31,0.179
 , , , 
Q25, , , 
response,lower,middle,upper
*A,0.093,0.095,0.282
 B,0.241,0.286,0.205
 blank,0.037,0,0
 C,0.259,0.19,0.128
 D,0.167,0.167,0.128
 E,0.204,0.262,0.256
 , , , 
